Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,437,2,4
400k,410,2,9
600k,383,2,13
800k,398,2,17
1000k,407,3,21
1200k,434,2,26
1400k,445,3,30
1600k,408,2,34
1800k,413,2,39
2000k,421,2,43
2200k,475,2,47
2400k,431,2,51
2600k,413,2,56
2800k,442,3,60
3000k,398,2,64
3200k,431,2,69
3400k,395,2,73
3600k,400,2,77
3800k,566,3,81
4000k,421,2,86
4200k,400,2,90
4400k,405,3,94
4600k,410,2,99
4800k,409,4,103
5000k,401,2,107
5200k,450,2,111
5400k,411,2,116
5600k,430,2,120
5800k,612,2,124
6000k,404,2,129
6200k,405,2,133
6400k,428,3,137
6600k,412,2,141
6800k,391,2,146
7000k,404,2,150
7200k,426,5,154
7400k,393,2,159
7600k,567,2,163
7800k,393,2,167
8000k,412,2,171
8200k,393,4,176
8400k,415,2,180
8600k,413,3,184
8800k,401,2,189
9000k,420,2,193
9200k,431,2,197
9400k,424,2,201
9600k,413,2,206
9800k,419,2,210
10000k,446,4,214
10200k,410,2,219
10400k,383,3,223
10600k,380,2,227
10800k,395,2,231
11000k,384,3,236
11200k,372,6,240
11400k,450,3,244
11600k,370,2,248
11800k,374,3,253
12000k,387,4,257
12200k,374,2,261
12400k,406,2,266
12600k,371,3,270
12800k,393,2,274
13000k,381,2,278
13200k,382,2,283
13400k,390,3,287
13600k,380,3,291
13800k,405,3,296
14000k,604,2,300
14200k,393,3,304
14400k,416,4,308
14600k,396,2,313
14800k,411,2,317
15000k,402,2,321
15200k,406,3,326
15400k,408,4,330
15600k,400,2,334
15800k,404,3,338
16000k,404,5,343
16200k,437,2,347
16400k,403,2,351
16600k,382,2,356
16800k,402,5,360
17000k,414,2,364
17200k,400,2,368
17400k,502,2,373
17600k,411,2,377
17800k,410,2,381
18000k,460,2,386
18200k,391,2,390
18400k,404,4,394
18600k,446,2,398
18800k,396,2,403
19000k,417,2,407
19200k,391,2,411
19400k,393,3,416
19600k,566,4,420
19800k,407,2,424
20000k,406,2,428
