Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,566,15,9
400k,621,3,17
600k,661,3,22
800k,707,3,34
1000k,743,4,38
1200k,715,3,44
1400k,924,4,56
1600k,881,4,67
1800k,772,3,72
2000k,760,3,76
2200k,738,3,81
2400k,755,4,89
2600k,818,4,100
2800k,772,6,112
3000k,826,4,123
3200k,859,6,132
3400k,954,6,139
3600k,1069,6,143
3800k,1060,7,147
4000k,1133,7,151
4200k,1461,7,157
4400k,1151,7,163
4600k,1544,7,171
4800k,1371,7,180
5000k,1472,7,190
5200k,1629,8,201
5400k,1835,8,213
5600k,1884,8,224
5800k,1784,8,234
6000k,2272,10,244
6200k,2184,10,253
6400k,2606,14,262
6600k,2496,11,269
6800k,2531,9,275
7000k,3192,8,281
7200k,2906,11,286
7400k,2243,9,290
7600k,2668,9,295
7800k,2830,10,300
8000k,2477,9,304
8200k,2767,9,310
8400k,3303,9,315
8600k,2521,10,322
8800k,3486,12,329
9000k,4436,13,336
9200k,3391,9,344
9400k,3949,11,352
9600k,3520,10,361
9800k,3786,9,371
10000k,3295,12,382
10200k,3905,11,392
10400k,3840,11,402
10600k,4217,10,413
10800k,4575,10,424
11000k,5018,10,435
11200k,4795,44,446
11400k,4681,10,456
11600k,4277,12,467
11800k,4886,10,476
12000k,4087,10,486
12200k,4260,11,495
12400k,5152,10,504
12600k,5536,65,512
12800k,4644,18,520
13000k,5217,10,528
13200k,5310,11,535
13400k,5464,11,542
13600k,5518,11,548
13800k,6721,11,554
14000k,5618,15,560
14200k,5288,10,565
14400k,5768,12,570
14600k,5928,15,575
14800k,6555,13,580
15000k,7146,11,585
15200k,5870,10,590
15400k,5364,12,595
15600k,6657,12,600
15800k,5756,12,605
16000k,6129,10,611
16200k,7791,10,617
16400k,7380,13,622
16600k,7392,15,628
16800k,5234,10,634
17000k,7237,14,640
17200k,6843,13,646
17400k,7394,11,653
17600k,8260,11,660
17800k,8668,11,668
18000k,9095,12,675
18200k,8981,12,683
18400k,9358,12,691
18600k,8463,17,700
18800k,9996,14,709
19000k,11229,12,717
19200k,8441,88,726
19400k,8912,11,736
19600k,7965,11,745
19800k,9195,11,755
20000k,8366,11,765
